"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1974",,,"120",,"120","0","168","0","89","0","145",,"34","0","32","0","193","0","92","0","79","0","2","0","-21","0,0205,","29",",0,0223,","8.8",",0,1207,","5.92",",0,0803,","90","0,0713,+","9374",,"9374","0","39.48",",0","95.6",",0","39.0","0","48.4","0","29.5","0",,,,,,,,,"315","X",,,,,,,,,"47.0","X"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1975",,,"229",,"229","0","163","0","82","0","139",,"37","0","29","0","175","0","103","0","98","0","3","0","-22","0,0122,","30",",0,0302,+","8.5",",0,0324,","1.46",",0,0617,","97","0,0731,","9181",,"9181","0","33.94",",0","115.9",",0","40.9","0","50.9","0","30.8","0",,,,,,,"315","X","315","X",,,,,,,"71.4","X","59.9","X"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1976",,,"154",,"154","0","181","0","75","0","157",,"67","0","44","0","205","0","111","0","107","0","4","0","-25","0,0202,","34",",0,0316,+","7.0",",0,0312,","1.06",",0,0326,","95","0,0908,","9083",,"9083","0","25.74",",0","188.2",",0","38.5","0","49.4","0","27.6","0",,,,,,,"315","X","315","X",,,,,,,"55.3","X","45.0","X"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1977",,,"82",,"82","0","193","0","94","0","140",,"48","0","35","0","166","0","98","0","65","0","1","0","-30","0,0109,","39",",0,0307,+","11.0",",0,0131,","1.54",",0,0706,","91","0,0720,","9861",,"9861","0","38.93",",0","160.2",",0","39.3","0","48.5","0","30.0","0",,,,,,,"315","X","135","X",,,,,,,"54.1","X","38.0","X"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1978",,,"117",,"117","0","165","0","92","0","149",,"45","0","38","0","188","0","108","0","85","0","0","0","-20","0,0204,","31",",0,1228,","7.4",",0,1220,","1.57",",0,0611,","88","0,0528,","9743",,"9743","0","38.25",",0","132.8",",0","38.6","0","48.5","0","28.7","0",,,,,,,"315","X","315","X",,,,,,,"56.4","X","38.0","X"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1979",,,"136",,"136","0","170","0","92","0","148",,"40","0","38","0","176","0","90","0","81","0","1","0","-35","0,0217,","32",",0,0125,+","9.0",",0,0406,","2.69",",0,0807,","90","0,0712,","9785",,"9785","0","43.41",",0","138.8",",0","38.7","0","48.1","0","29.4","0",,,,,,,"315","X","315","X",,,,,,,"56.4","X","47.0","X"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1980",,,"92",,"92","0","167","0","81","0","137",,"39","0","40","0","204","0","101","0","96","0","0","0","-25","0,1225,","30",",0,1223,","11.0",",0,1211,","1.63",",0,0408,","88","0,0523,","9263",,"9263","0","30.00",",0","153.5",",0","38.3","0","48.5","0","28.1","0",,,,,,,"270","X",,,,,,,,,"60.8","X",,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1981",,,"67",,"67","0","145","0","75","0","126",,"31","0","27","0","207","0","84","0","88","0","0","0","-32","0,0104,","31",",0,0215,+","10.0",",0,1231,","1.33",",0,0804,","88","0,0707,","9754",,"9754","0","28.70",",0","96.7",",0","39.2","0","49.6","0","28.8","0",,,,,,,"315","X","180","X",,,,,,,"51.7","X","36.9","X"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1982",,,"59",,"59","0","174","0","95","0","149",,"45","0","45","0","183","0","96","0","77","0","0","0","-36","0,0110,","38",",0,0117,","11.1",",0,0116,","1.71",",0,0901,","86","0,0706,","10150",,"10150","0","37.57",",0","159.6",",0","37.9","0","48.3","0","27.5","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1983",,,"384",,"384","0","154","0","95","0","113",,"39","0","29","0","201","0","84","0","99","0","7","0","-20","0,1219,","25",",0,1218,","6.7",",0,0319,","1.75",",0,0731,","93","0,0716,+","9034",,"9034","0","34.11",",0","115.3",",0","41.0","0","51.2","0","30.8","0",,,,,,,"135","X","135","X",,,,,,,"47.2","X","36.9","X"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1984","8.3","X","115",,"115","0","177","0","78","0","129",,"33","0","34","0","184","0","86","0","83","0","0","0","-33","0,0121,","27",",0,0130,+","8.9",",0,1203,","2.20",",0,0912,","88","0,0606,","9258",,"9258","0","34.93",",0","98.5",",0","40.2","0","50.3","0","30.2","0",,,,,,,"270","X","225","X",,,,,,,"57.5","X","40.0","X"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1985","8.1","X","74",,"74","0","190","0","103","0","149",,"52","0","36","0","172","0","106","0","83","0","0","0","-26","0,0202,","30",",0,0220,","11.0",",0,1201,","1.60",",0,0903,","85","0,0809,+","9311",,"9311","0","39.39",",0","174.4",",0","39.1","0","48.5","0","29.6","0",,,,,,,"225","X","315","X",,,,,,,"55.3","X","42.1","X"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1986","8.7","X","85",,"85","0","165","0","83","0","144",,"38","0","29","0","175","0","80","0","77","0","0","0","-28","0,0128,","37",",0,0311,+","7.8",",0,0309,","1.91",",0,0612,","87","0,0705,","9175",,"9175","0","37.45",",0","130.9",",0","40.5","0","49.9","0","31.1","0",,,,,,,"270","X","315","X",,,,,,,"56.4","X","40.0","X"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1987","8.3","X","223",,"223","0","156","0","81","0","121",,"32","0","17","0","170","0","67","0","95","0","1","0","-21","0,0123,","24",",0,0204,","7.1",",0,1202,","1.56",",0,0802,","91","0,0803,","8257",,"8257","0","30.90",",0","97.7",",0","43.4","0","52.9","0","33.8","0",,,,,,,,,"315","X",,,,,,,,,"33.1","X"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1988","8.7","X","261",,"261","0","180","0","98","0","131",,"40","0","38","0","182","0","87","0","97","0","10","0","-17","0,0114,","23",",0,0107,+","15.3",",0,0105,","2.33",",0,1105,","97","0,0708,+","9039",,"9039","0","36.97",",0","150.3",",0","40.4","0","50.5","0","30.3","0",,,,,,,"270","X","135","X",,,,,,,"60.8","X","44.1","X"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1989","7.8","X","178",,"178","0","161","0","76","0","154",,"48","0","51","0","189","0","107","0","96","0","3","0","-22","0,1221,+","32",",0,0315,","10.5",",0,1116,","1.08",",0,0803,","92","0,0723,","9246",,"9246","0","25.94",",0","154.4",",0","38.7","0","49.2","0","28.3","0",,,,,,,"315","X","90","X",,,,,,,"60.8","X","49.0","X"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1990","8.7","X","86",,"86","0","161","0","89","0","142",,"44","0","21","0","176","0","69","0","85","0","0","0","-19","0,0225,","36",",0,0307,+","8.5",",0,0125,","1.52",",0,1121,","85","0,0726,+","9197",,"9197","0","35.09",",0","129.8",",0","41.4","0","51.0","0","31.8","0",,,,,,,"270","X","315","X",,,,,,,"56.4","X","38.0","X"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1991","8.5","X","210",,"210","0","172","0","94","0","148",,"35","0","24","0","169","0","80","0","110","0","4","0","-12","0,0215,+","21",",0,0201,","7.5",",0,1127,","1.39",",0,0914,","93","0,0718,","8533",,"8533","0","33.24",",0","108.0",",0","42.0","0","51.9","0","32.1","0",,,,,,,"315","X",,,,,,,,,"58.6","X",,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1992","8.3","X","38",,"38","0","158","0","91","0","157",,"37","0","27","0","178","0","91","0","69","0","0","0","-17","0,0209,","25",",0,0227,+","8.3",",0,0309,","1.46",",0,0421,","86","0,0522,+","9201",,"9201","0","35.86",",0","125.8",",0","39.1","0","48.4","0","29.9","0",,,,,,,"270","X",,,,,,,,,"57.5","X",,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1993","8.9","X","123",,"123","0","166","0","87","0","124",,"29","0","34","0","188","0","86","0","71","0","0","0","-31","0,1226,","18",",0,0129,","6.0",",0,1227,","1.45",",0,0913,","88","0,0825,+","9515",,"9515","0","33.97",",0","88.5",",0","39.0","0","48.4","0","29.7","0",,,,,,,"315","X",,,,,,,,,"49.4","X",,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1994","8.9","X","93",,"93","0","149","0","74","0","128",,"25","0","40","0","177","0","81","0","76","0","1","0","-29","0,0115,","27",",0,0124,","7.3",",0,0117,","1.58",",0,0722,","91","0,0617,","10088",,"10088","0","28.02",",0","81.9",",0","39.2","0","48.8","0","29.6","0",,,,,,,"225","X",,,,,,,,,"58.6","X",,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1995","8.3","X","205",,"205","0","190","0","106","0","141",,"49","0","29","0","180","0","103","0","88","0","1","0","-20","0,0205,","49",",0,1212,","26.6",",0,1210,","3.15",",0,0830,","90","0,0618,","8598",,"8598","0","45.89",",0","209.1",",0","39.9","0","48.6","0","31.2","0","310","X",,,,,"315","X",,,"38.0","X",,,,,"52.8","X",,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1996","7.6","X","69",,"69","0","177","0","101","0","167",,"51","0","43","0","193","0","101","0","70","0","0","0","-27","0,0203,","37",",0,0131,","11.7",",0,0129,","1.97",",0,0927,","83","0,0807,+","10123",,"10123","0","43.03",",0","153.6",",0","38.3","0","47.3","0","29.2","0",,,,,,,"270","X",,,,,,,,,"51.9","X",,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1997","7.6","X","117",,"117","0","157","0","75","0",,,,,"25","0","184","0","93","0","78","0","0","0","-26","0,0118,",,,,,"1.65",",0,0623,","88","0,0714,","9378",,"9378","0","27.90",",0",,,"40.2","0","48.9","0","31.4","0",,,"240","X","230","X",,,,,,,"34.0","X","51.0","X",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1998","7.8","X","268",,"268","0","151","0","82","0","101",,"21","Z","7","0","131","0","60","0","111","0","0","0","-8","0,1230,","14",",Z,0118,","8.8",",Z,1219,","1.65",",0,1006,","89","0,0714,","7887",,"7887","0","33.22",",0","66.9",",Z","45.4","0","53.9","0","37.0","0",,,"320","X","310","X",,,,,,,"34.0","X","48.1","X",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1999","8.1","X","237",,"237","0","157","0","89","0","111",,"29","Z","17","0","151","0","70","0","90","0","0","0","-23","0,0101,","23",",Z,0308,+","8.7",",Z,0101,","2.16",",0,0813,","88","0,0730,","7770",,"7770","0","34.33",",0","96.0",",Z","43.1","0","51.7","0","34.4","0",,,"310","X","310","X",,,,,,,"40.0","X","49.0","X",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","2000","7.6","X","130",,"130","0","153","0","60","0","129",,"36","Z","21","0","159","0","89","0","79","0","0","0","-19","0,0122,","26",",Z,0118,","10.0",",Z,0103,+","1.25",",0,1109,","89","0,0831,","8271",,"8271","0","22.44",",0","114.2",",Z","41.6","0","50.3","0","32.8","0",,,"310","X","310","X",,,,,,,"34.9","X","45.0","X",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","2001","7.8","X","276",,"276","0","162","0","80","0","124",,"36","Z","11","0","148","0","79","0","86","0","3","0","-8","0,0108,","32",",Z,0223,","5.3",",Z,0223,","1.63",",0,0825,","92","0,0807,","8811",,"8811","0","38.50",",0","102.7",",Z","43.8","0","52.2","0","35.4","0",,,"290","X","220","X",,,,,,,"38.9","X","48.1","X",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","2002","8.1","X","341",,"341","0","162","0","72","0","151",,"41","Z","8","0","181","0","72","0","101","0","2","0","-7","0,0304,","24",",Z,0324,","6.9",",Z,0303,","1.75",",0,0801,","90","0,0909,+","8023",,"8023","0","29.26",",0","122.9",",Z","42.6","0","50.9","0","34.4","0",,,"290","X","260","X",,,,,,,"38.9","X","49.0","X",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","2003","7.6","X","156",,"156","0","154","0","70","0","147",,"44","Z","31","0","163","0","84","0","95","0","0","0","-21","0,0303,+","32",",Z,0222,","9.8",",Z,0222,","1.71",",0,0803,","87","0,0625,","8874",,"8874","0","30.44",",0","133.2",",Z","41.0","0","49.8","0","32.1","0",,,"310","X","80","X",,,,,,,"33.1","X","47.0","X",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","2004","7.8","X","87",,"87","0","149","0","78","0",,,,,"30","0","169","0","89","0","69","0","0","0","-22","0,0116,",,,,,"1.26",",0,1023,","83","0,0728,","9014",,"9014","0","31.96",",0",,,"40.2","0","48.6","0","31.8","0",,,"310","X","310","X",,,,,,,"33.1","X","47.0","X",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","2005","7.6","X","330",,"330","0","153","0","67","0",,,,,"22","0","165","0","95","0","109","0","6","0","-20","0,0118,",,,,,"1.32",",0,0731,","94","0,0711,","8660",,"8660","0","25.52",",0",,,"42.7","0","51.8","0","33.7","0",,,"280","X","220","X",,,,,,,"42.9","X","53.9","X",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","2006","7.4","W","229",,"229","0","148","0","81","0","113",,"31","0","7","0","163","0","68","0","104","0","3","0","-4","0,0218,","27",",0,0227,+","8.7",",0,0129,","1.18",",0,0511,","92","0,0715,+","7872",,"7872","0","28.88",",0","96.1",",0","43.8","0","52.2","0","35.5","0",,,"240","X","310","X",,,,,,,"34.9","X","46.1","X",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","2007","7.4","W","268",,"268","0","171","0","74","0","129",,"43","0","26","0","151","0","93","0","99","0","3","0","-18","0,0306,","22",",0,0306,+","7.8",",0,0302,","1.97",",0,0921,","94","0,0801,","8424",,"8424","0","30.19",",0","130.1",",0","42.4","0","51.4","0","33.5","0",,,"230","X","220","X",,,,,,,"33.1","X","47.0","X",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","2008","7.2","W","111",,"111","0","188","0","98","0","151",,"53","0","31","0","168","0","101","0","81","0","0","0","-12","0,0227,","25",",0,0301,","8.5",",0,0111,","1.19",",0,0409,","87","0,0902,","8575",,"8575","0","34.95",",0","174.4",",0","40.8","0","49.3","0","32.3","0",,,"290","X","280","X",,,,,,,"38.9","X","61.1","X",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","2009","6.7","W","104",,"104","0","166","0","81","0","133",,"33","0","28","0","165","0","89","0","69","0","0","0","-18","0,0116,","26",",0,0203,+","8.8",",0,1210,","1.10",",0,1030,","88","0,0624,","9056",,"9056","0","28.50",",0","101.2",",0","40.7","0","49.0","0","32.4","0",,,"230","X","280","X",,,,,,,"36.9","X","55.9","X",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","2010","6.9","W","293",,"293","0","145","0","72","0","116",,"18","0","8","0","149","0","76","0","96","0","0","0","-12","0,0102,","13",",0,0204,","7.5",",0,1202,","2.35",",0,0923,","88","0,0830,+","7724",,"7724","0","30.46",",0","54.4",",0","44.7","0","53.3","0","36.2","0",,,"220","X","210","X",,,,,,,"38.9","X","59.1","X",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","2011","6.7","W","244",,"244","X","159","X","85","X","121",,"26","X","19","X","158","X","80","X","102","X","0","X","-22","X,0123,","16",",X,0310,","4.1",",X,0303,","1.48",",X,0427,","88","X,0717,","8629",,"8629","X","38.22",",X","71.1",",X","43.0","X","51.5","X","34.5","X",,,"140","X","140","X",,,,,,,"38.0","X","55.0","X",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","2012","7.4","X","383",,"383","X","159","X","83","X","116",,"36","X","6","X","150","X","62","X","108","X","2","X","-9","X,0305,+","20",",X,0305,+","10.3",",X,1220,","1.81",",X,0618,","91","X,0804,","7195",,"7195","X","29.43",",X","119.3",",X","45.6","X","54.4","X","36.8","X",,,"310","X","310","X",,,,,,,"34.9","X","49.0","X",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","2013","7.4","W","254",,"254","W","182","W","102","W","167",,"54","W","24","W","170","W","95","W","92","W","2","W","-15","W,0124,+","30",",W,0321,","9.5",",W,0219,","2.56",",W,0909,","92","W,0716,","8439",,"8439","W","48.80",",W","163.2",",W","40.9","W","49.3","W","32.6","W",,,"270","W","290","W",,,,,,,"35.1","W","53.9","W",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","2014","7.4","W","97",,"97","W","181","W","93","W","167",,"52","W","44","W","172","W","108","W","84","W","0","W","-21","W,0228,","32",",W,0328,","18.2",",W,1113,","2.24",",W,1014,","85","W,0809,","9679",,"9679","W","40.56",",W","182.3",",W","38.6","W","47.2","W","30.1","W",,,"320","W",,,,,,,,,"32.0","W",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","2015","7.2","W","254",,"254","W","153","W","77","W","119",,"30","W","36","W","145","W","81","W","100","W","3","W","-24","W,0220,","32",",W,0304,","6.4",",W,1229,","2.17",",W,1214,","95","W,0728,","9427",,"9427","W","32.90",",W","86.9",",W","42.0","W","51.0","W","33.0","W",,,"210","W","230","W",,,,,,,"44.1","W","59.9","W",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","2016","6.9","W","342",,"342","W","178","W","91","W","127",,"46","W","12","W","144","W","67","W","114","W","0","W","-18","W,0213,","20",",W,0301,","9.6",",W,1215,","1.50",",W,0708,","89","W,0804,+","7564",,"7564","W","35.06",",W","130.7",",W","45.0","W","53.5","W","36.5","W",,,"230","W","230","W",,,,,,,"35.1","W","46.1","W",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","2017","7.2","W","202",,"202","W","191","W","98","W","131",,"43","W","14","W","142","W","70","W","94","W","1","W","-16","W,1228,","25",",W,0213,+","6.2",",W,0210,","2.83",",W,0817,","90","W,0923,","7297",,"7297","W","43.06",",W","135.7",",W","44.0","W","52.1","W","35.9","W",,,"270","W","200","W",,,,,,,"35.1","W","53.9","W",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","2018","6.9","W","446",,"446","W","155","W","76","W","169",,"40","W","13","W","174","W","87","W","112","W","7","W","-17","W,0106,","22",",W,0417,","7.7",",W,1113,","3.20",",W,1010,","94","W,0701,","8392",,"8392","W","30.94",",W","115.6",",W","42.9","W","51.8","W","34.1","W",,,"310","W","330","W",,,,,,,"36.9","W","63.1","W",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","2019","6.9","W","211",,"211","W","189","W","97","W","165",,"46","W","23","W","170","W","87","W","93","W","0","W","-24","W,0128,","41",",W,0311,+","12.3",",W,0107,","3.00",",W,0930,","88","W,0719,","8924",,"8924","W","46.18",",W","158.2",",W","41.0","W","49.5","W","32.5","W",,,"290","W","290","W",,,,,,,"35.1","W","59.9","W",,,,
